type,true,predicted,logError,user
Grayscale,75,80,2.357552004618084,u6
Plain,22,25,1.6438561897747248,u6
Plain,3,2,-0.19264507794239588,u6
Plain,20,25,2.357552004618084,u6
Grayscale,43,45,1.0874628412503393,u6
Grayscale,0,0,0.0,u6
Grayscale,4,5,0.16992500144231237,u6
Grayscale,40,43,1.6438561897747248,u6
Plain,44,44,0.0,u6
Grayscale,60,70,3.3398500028846247,u6
Colored,96,95,-0.19264507794239588,u6
Grayscale,69,76,2.8328900141647417,u6
Grayscale,17,32,3.9188632372745946,u6
Plain,54,57,1.6438561897747248,u6
Colored,72,84,3.599912842187128,u6
Colored,76,89,3.7142455176661224,u6
Grayscale,31,25,2.554588851677637,u6
Plain,91,92,0.16992500144231237,u6
Plain,36,39,1.6438561897747248,u6
Grayscale,14,13,-0.19264507794239588,u6
Grayscale,19,28,3.189824558880017,u6
Grayscale,29,35,2.6147098441152083,u6
Plain,27,35,3.0223678130284544,u6
Colored,86,85,-0.19264507794239588,u6
Colored,33,42,3.189824558880017,u6
Grayscale,89,87,0.9068905956085185,u6
Colored,50,50,0.0,u6
Colored,93,92,-0.19264507794239588,u6
Colored,82,80,0.9068905956085185,u6
Plain,45,47,1.0874628412503393,u6
Grayscale,75,86,3.4757334309663976,u6
Grayscale,61,64,1.6438561897747248,u6
Colored,49,52,1.6438561897747248,u6
Plain,52,58,2.6147098441152083,u6
Plain,67,63,1.9541963103868751,u6
Colored,97,96,-0.19264507794239588,u6
Plain,65,74,3.189824558880017,u6
Colored,48,49,0.16992500144231237,u6
Colored,34,30,1.9541963103868751,u6
Plain,80,86,2.6147098441152083,u6
Plain,52,50,0.9068905956085185,u6
Colored,72,67,2.2854022188622483,u6
Colored,52,58,2.6147098441152083,u6
Plain,37,39,1.0874628412503393,u6
Plain,97,95,0.9068905956085185,u6
Plain,22,23,0.16992500144231237,u6
Colored,52,54,1.0874628412503393,u6
Colored,28,25,1.5235619560570128,u6
Grayscale,44,55,3.4757334309663976,u7
Plain,30,33,1.6438561897747248,u7
Grayscale,85,85,0.0,u7
Colored,66,65,-0.19264507794239588,u7
Colored,64,70,2.6147098441152083,u7
Plain,86,90,2.0443941193584534,u7
Grayscale,51,50,-0.19264507794239588,u7
Plain,95,97,1.0874628412503393,u7
Colored,36,35,-0.19264507794239588,u7
Grayscale,25,20,2.2854022188622483,u7
Grayscale,14,15,0.16992500144231237,u7
Plain,68,75,2.8328900141647417,u7
Grayscale,55,50,2.2854022188622483,u7
Colored,15,15,0.0,u7
Colored,99,99,0.0,u7
Grayscale,6,8,1.0874628412503393,u7
Colored,84,85,0.16992500144231237,u7
Colored,26,25,-0.19264507794239588,u7
Plain,36,33,1.5235619560570128,u7
Grayscale,99,99,0.0,u7
Plain,1,5,2.0443941193584534,u7
Grayscale,27,33,2.6147098441152083,u7
Colored,40,40,0.0,u7
Colored,97,95,0.9068905956085185,u7
Plain,55,55,0.0,u7
Plain,63,65,1.0874628412503393,u7
Colored,0,0,0.0,u7
Grayscale,74,75,0.16992500144231237,u7
Plain,73,65,2.9772799234999163,u7
Colored,41,40,-0.19264507794239588,u7
Colored,98,97,-0.19264507794239588,u7
Grayscale,46,48,1.0874628412503393,u7
Colored,58,55,1.5235619560570128,u7
Grayscale,4,7,1.6438561897747248,u7
Grayscale,9,15,2.6147098441152083,u7
Plain,82,85,1.6438561897747248,u7
Colored,35,35,0.0,u7
Grayscale,88,85,1.5235619560570128,u7
Colored,14,15,0.16992500144231237,u7
Colored,18,20,1.0874628412503393,u7
Plain,99,98,-0.19264507794239588,u7
Plain,68,70,1.0874628412503393,u7
Plain,11,15,2.0443941193584534,u7
Plain,25,25,0.0,u7
Plain,91,95,2.0443941193584534,u7
Plain,95,95,0.0,u7
Colored,51,48,1.5235619560570128,u7
Grayscale,58,60,1.0874628412503393,u7
Grayscale,20,20,0.0,u7
Colored,92,95,1.6438561897747248,u7
Plain,53,55,1.0874628412503393,u7
Grayscale,37,33,1.9541963103868751,u7
Grayscale,14,15,0.16992500144231237,u7
Plain,13,15,1.0874628412503393,u7
Plain,61,65,2.0443941193584534,u7
Colored,68,75,2.8328900141647417,u7
Colored,59,66,2.8328900141647417,u7
Grayscale,74,75,0.16992500144231237,u7
Plain,74,75,0.16992500144231237,u7
Grayscale,87,90,1.6438561897747248,u7
Grayscale,38,42,2.0443941193584534,u8
Grayscale,71,78,2.8328900141647417,u8
Grayscale,15,13,0.9068905956085185,u8
Grayscale,67,63,1.9541963103868751,u8
Plain,52,57,2.357552004618084,u8
Plain,96,94,0.9068905956085185,u8
Grayscale,100,99,-0.19264507794239588,u8
Plain,11,12,0.16992500144231237,u8
Colored,6,6,0.0,u8
Plain,87,89,1.0874628412503393,u8
Plain,25,39,3.820178962415188,u8
Plain,95,97,1.0874628412503393,u8
Plain,58,74,4.011227255423254,u8
Grayscale,6,10,2.0443941193584534,u8
Plain,71,66,2.2854022188622483,u8
Colored,40,36,1.9541963103868751,u8
Plain,58,58,0.0,u8
Grayscale,92,94,1.0874628412503393,u8
Colored,37,42,2.357552004618084,u8
Colored,70,78,3.0223678130284544,u8
Grayscale,82,84,1.0874628412503393,u8
Plain,17,20,1.6438561897747248,u8
Grayscale,6,4,0.9068905956085185,u8
Colored,44,46,1.0874628412503393,u8
Plain,100,100,0.0,u8
Grayscale,89,89,0.0,u8
Plain,18,18,0.0,u8
Colored,98,98,0.0,u8
Colored,52,61,3.189824558880017,u8
Plain,13,18,2.357552004618084,u8
Plain,96,96,0.0,u8
Grayscale,16,20,2.0443941193584534,u8
Colored,7,9,1.0874628412503393,u8
Plain,9,8,-0.19264507794239588,u8
Plain,94,94,0.0,u8
Colored,22,24,1.0874628412503393,u8
Plain,95,95,0.0,u8
Grayscale,0,0,0.0,u8
Colored,20,33,3.7142455176661224,u8
Grayscale,67,69,1.0874628412503393,u8
Grayscale,29,30,0.16992500144231237,u8
Grayscale,21,23,1.0874628412503393,u8
Plain,65,73,3.0223678130284544,u8
Plain,45,46,0.16992500144231237,u8
Grayscale,62,72,3.3398500028846247,u8
Plain,86,88,1.0874628412503393,u8
Grayscale,26,36,3.3398500028846247,u8
Colored,53,55,1.0874628412503393,u8
Colored,53,64,3.4757334309663976,u8
Colored,43,47,2.0443941193584534,u8
Grayscale,47,49,1.0874628412503393,u8
Colored,43,46,1.6438561897747248,u8
Colored,59,61,1.0874628412503393,u8
Grayscale,34,37,1.6438561897747248,u8
Grayscale,24,25,0.16992500144231237,u8
Colored,31,34,1.6438561897747248,u8
Colored,72,79,2.8328900141647417,u8
Colored,1,3,1.0874628412503393,u8
Colored,20,25,2.357552004618084,u8
Colored,78,78,0.0,u8
Grayscale,70,70,0.0,u9
Plain,86,85,-0.19264507794239588,u9
Colored,100,100,0.0,u9
