Result,Trial,ChartType,CorrectAnswer,SubjectAnswer
8,44,TreeMap,38,32
8,45,BarChart,66,66
8,46,RadarChart,56,62
8,47,TreeMap,63,45
8,48,BarChart,61,55
8,49,RadarChart,75,77
8,50,TreeMap,96,80
8,51,BarChart,65,69
8,52,RadarChart,17,18
8,53,TreeMap,65,54
8,54,BarChart,96,95
8,55,RadarChart,70,66
8,56,TreeMap,41,34
8,57,BarChart,15,15
8,58,RadarChart,61,73
8,59,TreeMap,41,43
9,0,BarChart,80,100
9,1,RadarChart,30,67
9,2,TreeMap,84,100
9,3,BarChart,89,20
9,4,RadarChart,19,70
9,5,TreeMap,17,90
9,6,BarChart,81,20
9,7,RadarChart,28,67
9,8,TreeMap,68,20
9,9,BarChart,28,80
9,10,RadarChart,47,50
9,11,TreeMap,97,95
9,12,BarChart,81,90
9,13,RadarChart,98,100
9,14,TreeMap,79,100
9,15,BarChart,39,40
9,16,RadarChart,49,45
9,17,TreeMap,15,10
9,18,BarChart,33,30
9,19,RadarChart,84,50
9,20,TreeMap,74,95
9,21,BarChart,54,50
9,22,RadarChart,73,95
9,23,TreeMap,52,60
9,24,BarChart,33,70
9,25,RadarChart,59,90
9,26,TreeMap,50,25
9,27,BarChart,35,30
9,28,RadarChart,42,40
9,29,TreeMap,68,90
9,30,BarChart,54,60
9,31,RadarChart,68,40
9,32,TreeMap,87,95
9,33,BarChart,16,10
9,34,RadarChart,72,85
9,35,TreeMap,20,10
9,36,BarChart,32,40
9,37,RadarChart,28,15
9,38,TreeMap,36,35
9,39,BarChart,24,23
9,40,RadarChart,91,100
9,41,TreeMap,59,90
9,42,BarChart,54,60
9,43,RadarChart,86,90
9,44,TreeMap,72,95
9,45,BarChart,69,80
9,46,RadarChart,42,15
9,47,TreeMap,43,30
9,48,BarChart,97,100
9,49,RadarChart,81,98
9,50,TreeMap,76,90
9,51,BarChart,73,80
9,52,RadarChart,73,99
9,53,TreeMap,42,50
9,54,BarChart,33,20
9,55,RadarChart,89,98
9,56,TreeMap,78,95
9,57,BarChart,28,30
9,58,RadarChart,30,25
9,59,TreeMap,33,25
